,ItemCode, WarehouseCode, BinLocation, ReorderMethod, QuantityOnHand, QuantityOnPurchaseOrder, QuantityOnSalesOrder, QuantityOnBackOrder, AverageCost, QuantityRequiredForWO, EconomicOrderQty, ReorderPointQty, MinimumOrderQty, MaximumOnHandQty, QuantityOnWorkOrder, QuantityInShipping, TotalWarehouseValue, CostCalcQtyCommitted, CostCalcCostCommitted, DateCreated, TimeCreated, UserCreatedKey, DateUpdated, TimeUpdated, UserUpdatedKey, LastPhysicalCountDate
366,027132,MTG,,E,0.000000,0.000000,0.000000,80.000000,40.176100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2023-01-10,14.64926,0000000003,2022-09-30
367,027132C,MTG,,E,0.000000,0.000000,0.000000,0.000000,23.336500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
368,027155,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2016-02-26,5.62735,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
369,027200,MTG,,E,0.000000,0.000000,0.000000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-12-21,13.62086,0000000036,2022-09-30
370,027200FF,MTG,,E,0.000000,0.000000,0.000000,0.000000,63.027700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2018-05-14,15.11332,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
371,027200FF-4,MTG,,E,0.000000,0.000000,0.000000,200.000000,49.500400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2022-08-01,6.74496,0000000007,2023-01-10,14.64926,0000000003,2022-09-30
372,027200FF-KITS,MTG,,E,800.000000,0.000000,0.000000,0.000000,10.611800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8489.44,0.000000,0.000000,2021-03-15,7.90785,0000000007,2023-01-09,15.23188,0000000003,2022-09-30
373,027200LME,MTG,,E,0.000000,0.000000,0.000000,0.000000,34.791000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2017-10-02,6.35627,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
374,027205,MTG,,E,0.000000,0.000000,0.000000,0.000000,60.516700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2016-02-26,5.63797,0000000007,2022-11-28,10.27197,0000000003,2022-09-30
375,027232,MTG,,E,0.000000,0.000000,0.000000,80.000000,40.267400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2023-01-10,14.64926,0000000003,2022-09-30
376,027232C,MTG,,E,0.000000,0.000000,0.000000,80.000000,40.710300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2023-01-10,14.64926,0000000003,2022-09-30
377,027232DGF,MTG,,E,0.000000,0.000000,0.000000,0.000000,17.049300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2021-02-01,12.69768,0000000049,2022-10-01,12.25146,0000000055,2022-09-30
378,027232DGP-A,MTG,,E,0.000000,0.000000,0.000000,0.000000,10.647200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2015-10-27,9.73723,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
