,BillNo, Revision, BillType, DrawingNo, DrawingRevision, DateLastUsed, RoutingNo, BillHasOptions, CurrentBillRevision, OptionInteractions, OptionCategories, PrintComponentDetail, MaximumLotSize, YieldPercent, BillDesc1, BillDesc2, DateCreated, TimeCreated, UserCreatedKey, DateUpdated, TimeUpdated, UserUpdatedKey, TemplateNo, TemplateRevisionNo
980,085922FF-KITS,000,S,,,2022-08-03,081202A,N,000,N,N,N,0,100.000,FILLED BOTTLE-DK CLNR 22spr,,2021-03-11,13.19814,0000000007,2022-08-03,15.86234,0000000003,,
981,085922LME,000,S,,,2020-12-02,081922P,N,000,N,N,N,0,100.000,DECK CLEANER LME 6x22,,2017-10-02,6.48687,0000000007,2020-12-03,9.17576,0000000003,,
982,085922P,000,S,,,2022-08-18,081922P,N,000,N,N,N,0,100.000,DECK CLEANER  6X22oz,,2010-12-15,18.66705,0000000013,2022-08-18,15.18719,0000000003,,
983,085922PUNSY,000,S,,,,,N,000,N,N,N,0,100.000,DECK CLNR Unlabeled Synk 6/22,,2021-01-27,14.02739,0000000007,2021-01-27,14.0274,0000000007,,
984,085922SS,000,S,,,2022-07-06,071622P,N,000,N,N,N,0,100.000,Deck Cleaner Amazon 6/22oz,,2017-03-10,6.60816,0000000007,2022-07-06,13.52614,0000000003,,
985,085922SS-KITS,000,S,,,2022-06-23,081202A,N,000,N,N,N,0,100.000,FILLED BOTTLE-DK CLNR 22spr,,2021-03-15,9.18396,0000000007,2022-06-23,15.44529,0000000003,,
986,085932CSS,000,S,,,2018-06-25,085932N,N,000,N,N,N,0,100.000,DECK CLEANER CSS 6-32oz,,2018-08-09,9.82569,0000000007,2019-09-10,8.46677,0000000007,,
987,085932DGF,000,S,,,2022-05-10,085932N,N,000,N,N,N,0,100.000,DECK CLEANER DGF 6-32oz,,2021-03-22,9.23295,0000000007,2022-05-10,15.82994,0000000003,,
988,085932DGP-A,000,S,,,2021-04-14,085932N,N,000,N,N,N,0,100.000,DECK CLEANER D/G-VA 6-32oz,,2010-12-15,18.66705,0000000013,2021-04-14,14.13539,0000000003,,
989,085932DSN,000,S,,,2022-05-10,085932N,N,000,N,N,N,0,100.000,DECK CLEANER DSN 6-32oz,,2018-04-23,10.00099,0000000007,2022-05-10,15.82994,0000000003,,
990,085932FF,000,S,,,2022-08-08,,N,000,N,N,N,0,100.000,DECK CLEANER-Amazon 6x32,,2016-04-20,15.27344,0000000007,2022-08-08,14.72407,0000000055,,
991,085932FF-KITS,000,S,,,2022-07-19,081202A,N,000,N,N,N,0,100.000,FILLED BOTTLE-DK CLNR 32oz,,2021-03-11,12.49157,0000000007,2022-07-19,13.48522,0000000003,,
992,085932GF,000,S,,,2022-06-28,085932N,N,000,N,N,N,0,100.000,DECK CLEANER G/F 6-32oz,,2010-12-15,18.66705,0000000013,2022-06-28,13.9633,0000000003,,
993,085932GT,000,S,,,,,N,000,N,N,N,0,100.000,DECK CLEANER G/T 6-32oz,,2021-10-20,14.59021,0000000007,2021-10-20,14.59021,0000000007,,
994,085932IC,000,S,,,2022-07-20,085932N,N,000,N,N,N,0,100.000,DECK CLEANER I/C 6-32oz,,2020-01-02,7.98913,0000000007,2022-07-20,14.0445,0000000003,,
995,085932LE,000,S,,,2013-03-25,085932N,N,000,N,N,N,0,100.000,DECK CLEANER Lim Ed 6-32oz,,2011-12-08,10.42345,0000000007,2019-09-10,8.47335,0000000007,,
996,085932LME,000,S,,,2021-11-03,085932N,N,000,N,N,N,0,100.000,DECK CLEANER L/M/E 6-32oz,,2015-09-28,10.67831,0000000007,2021-11-03,13.20043,0000000003,,
997,085932PC,000,S,,,2022-07-20,085932PC,N,000,N,N,N,0,100.000,DECK CLEANER  6/32oz  CA,,2010-12-15,18.66705,0000000013,2022-07-20,14.0445,0000000003,,
998,085932PW,000,S,,,2022-07-20,,N,000,N,N,N,0,100.000,DECK CLEANER-WALMART 6x32,,2010-12-15,18.66705,0000000013,2022-07-20,14.0445,0000000003,,
999,085932SP,000,S,,,2022-04-05,085932N,N,000,N,N,N,0,100.000,DECK CLEANER S/P 6-32oz,,2010-12-15,18.66705,0000000013,2022-04-05,13.82934,0000000003,,
1000,085932WK,000,S,,,2021-12-20,085932N,N,000,N,N,N,0,100.000,DECK CLEANER Watski 6-32,,2012-07-26,9.04164,0000000007,2021-12-20,12.13392,0000000003,,
1001,085933DGF,000,S,,,2022-05-04,,N,000,N,N,N,0,100.000,DECK CLEANER D/G/F 6/32 spray,,2020-06-19,13.38398,0000000007,2022-05-04,14.39739,0000000003,,
