Part_Number,Description,Lot_Number,Quantity,date_created,Line,id
81500.B,BLEND-TEAK BRTNR,G221190,400.0,2022-07-09,Prod,217
234526-35.B,BLEND-SPLASH -20 ALL SEASON,G221189,1600.0,2022-07-09,Dm,218
500501,BLEND-W/W STRBRT SUMMER (+22),G221188,4500.0,2022-07-09,Hx,219
236226-35.B,BLEND-Splash +22 nonrepel,G221187,5100.0,2022-07-09,Hx,220
236226-35.B,BLEND-Splash +22 nonrepel,G221186,5100.0,2022-07-09,Hx,221
234357-35.B,BLEND-Splash/S'Tech -0- nonrep,G221185,3000.0,2022-07-09,Hx,222
238197-35.B,BLEND-SPLASH -0- W/Repel,G221184,5100.0,2022-07-09,Hx,223
238197-35.B,BLEND-SPLASH -0- W/Repel,G221183,5100.0,2022-07-09,Hx,224
234526-35.B,BLEND-SPLASH -20 ALL SEASON,G221182,3000.0,2022-07-09,Hx,225
052000G2/2/15,BLEND-RVAF -50 (PG2/G2/DNA15),G221181,2050.0,2022-07-09,Dm,226
052000G2/2/15,BLEND-RVAF -50 (PG2/G2/DNA15),G221180,2925.0,2022-07-09,Dm,227
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221179,3600.0,2022-07-09,Hx,228
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221178,3600.0,2022-07-09,Hx,229
28100.B,BLEND-SUP PRM SYN 4STK 10W30,G221177,975.0,2022-07-08,Prod,230
81500.B,BLEND-TEAK BRTNR,G221175,300.0,2022-07-08,Prod,231
28200.B,BLEND-SUP PRM SYN 4STK 10W40,G221174,525.0,2022-07-08,Prod,232
94900.B,BLEND-TEAK CLEANER/BRIGHTNER,G221173,1350.0,2022-07-08,Prod,233
602070,BLEND-Full Synthetic 10W30,G221172,150.0,2022-07-08,Prod,234
93100GAS.B,BLEND-STARTRON GAS & AUTO DSL,G221171,425.0,2022-07-07,Prod,235
28300.B,BLEND-25W40 4STROKE,G221170,150.0,2022-07-07,Prod,236
052000G2/2/15,BLEND-RVAF -50 (PG2/G2/DNA15),G221169,5100.0,2022-07-07,Hx,237
052000G2/2/15,BLEND-RVAF -50 (PG2/G2/DNA15),G221168,5100.0,2022-07-07,Hx,238
052000G2/2/15,BLEND-RVAF -50 (PG2/G2/DNA15),G221167,5100.0,2022-07-07,Hx,239
052000G2/2/15,BLEND-RVAF -50 (PG2/G2/DNA15),G221166,5100.0,2022-07-07,Hx,240
052000G2/2/15,BLEND-RVAF -50 (PG2/G2/DNA15),G221165,5100.0,2022-07-07,Hx,241
208367V3.B,BLEND-Supertech Debug W/W 6-1g,G221164,3000.0,2022-07-07,Hx,242
602011,BLEND-TOILET TREAT PINE,G221163,250.0,2022-07-02,Prod,243
602011,BLEND-TOILET TREAT PINE,G221162,250.0,2022-07-02,Prod,244
602010,BLEND-TOILET TREAT LEMON,G221161,1150.0,2022-07-02,Prod,245
300355.B,BLEND-ITW Low Conductivity AF,G221160,1750.0,2022-07-02,Prod,246
K4199-1.B,BLEND-Lincoln Elec Low Cond AF,G221159,675.0,2022-07-02,Prod,247
602071,BLEND-Full Synthetic 10W40,G221158,175.0,2022-07-02,Prod,248
28000.B,BLEND-SUP PRM HD SAE 15W40,G221157,525.0,2022-07-02,Prod,249
97200.B,BLEND-INFLATABLE BOAT CLNR,F221156,150.0,2022-07-02,Prod,250
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),F221155,2925.0,2022-07-02,Dm,251
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),F221154,2925.0,2022-07-02,Dm,252
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),F221153,2925.0,2022-07-02,Dm,253
602032CARB,BLEND-PREM TEAK OIL (carb comp,G221152,2200.0,2022-07-02,Prod,254
601013PA,BLEND-EGAF with Ph. Acid,F221151,850.0,2022-07-02,Prod,255
236226-35.B,BLEND-Splash +22 nonrepel,F221150,5100.0,2022-07-02,Hx,256
234357-35.B,BLEND-Splash/S'Tech -0- nonrep,F221149,3600.0,2022-07-02,Hx,257
234526-35.B,BLEND-SPLASH -20 ALL SEASON,F221148,2400.0,2022-07-02,Hx,258
234526-35.B,BLEND-SPLASH -20 ALL SEASON,F221147,5100.0,2022-07-02,Hx,259
234192-T35.B,BLEND-SPLASH -25 ALL SEASON,F221146,3000.0,2022-07-02,Hx,260
602037,BLEND-MILDEW STAIN RMVR KPK,F221145,1860.0,2022-06-30,Prod,261
94444CON.B,BLEND-Salt Terminator CONC,F221144,2350.0,2022-06-30,Prod,262
602059,BLEND-ECO TRIM & TILT FLUID,F221143,175.0,2022-06-29,Prod,263
300357.B,BLEND-ITW Alum Protector AF,F221142,600.0,2022-06-29,Prod,264
602037,BLEND-MILDEW STAIN RMVR KPK,G221141,2500.0,2022-06-29,Prod,265
602037,BLEND-MILDEW STAIN RMVR KPK,G221140,2500.0,2022-06-29,Prod,266
602037,BLEND-MILDEW STAIN RMVR KPK,G221139,2500.0,2022-06-29,Prod,267
300355.B,BLEND-ITW Low Conductivity AF,F221138,2800.0,2022-06-29,Prod,268
300355.B,BLEND-ITW Low Conductivity AF,F221137,2800.0,2022-06-29,Prod,269
96100.B,BLEND-GEL HULL CLNR,F221136,150.0,2022-06-29,Prod,270
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),F221135,2925.0,2022-06-29,Dm,271
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),F221134,2925.0,2022-06-29,Dm,272
